id,clause_id,section,predicate,roles,source_method,priority_score,review_status,clause,annotator_notes
c0011-p001,11,1 DEFINITIONS,"{""text"": ""means"", ""lemma"": ""means"", ""start"": 12, ""end"": 17, ""needs_fix"": false}","[{""label"": ""DefinedTerm"", ""text"": ""MARKS"", ""start"": 5, ""end"": 10, ""needs_fix"": false}, {""label"": ""Definition"", ""text"": ""all domain names, trademarks and logos designated by a party for the other party's use in conjunction with such other party's performance under this Agreement."", ""start"": 18, ""end"": 177, ""needs_fix"": false}]",legal_definition_rule,1,needs_review,"(h) ""MARKS"" means all domain names, trademarks and logos designated by a party for the other party's use in conjunction with such other party's performance under this Agreement.",
c0012-p001,12,1 DEFINITIONS,"{""text"": ""means"", ""lemma"": ""means"", ""start"": 15, ""end"": 20, ""needs_fix"": false}","[{""label"": ""DefinedTerm"", ""text"": ""SERVICES"", ""start"": 5, ""end"": 13, ""needs_fix"": false}, {""label"": ""Definition"", ""text"": ""i-Escrow's implementation and performance of the Escrow Services as of the Effective Date, as modified over time."", ""start"": 21, ""end"": 134, ""needs_fix"": false}]",legal_definition_rule,1,needs_review,"(i) ""SERVICES"" means i-Escrow's implementation and performance of the Escrow Services as of the Effective Date, as modified over time.",
c0013-p001,13,1 DEFINITIONS,"{""text"": ""means"", ""lemma"": ""means"", ""start"": 18, ""end"": 23, ""needs_fix"": false}","[{""label"": ""DefinedTerm"", ""text"": ""SHADOW SITE"", ""start"": 5, ""end"": 16, ""needs_fix"": false}, {""label"": ""Definition"", ""text"": ""the site where Co-Branded Site is made available for 2TheMart's testing of the Information Transfer Mechanism prior to being made publicly available."", ""start"": 24, ""end"": 173, ""needs_fix"": false}]",legal_definition_rule,1,needs_review,"(j) ""SHADOW SITE"" means the site where Co-Branded Site is made available for 2TheMart's testing of the Information Transfer Mechanism prior to being made publicly available.",
c0014-p001,14,1 DEFINITIONS,"{""text"": ""means"", ""lemma"": ""means"", ""start"": 18, ""end"": 23, ""needs_fix"": false}","[{""label"": ""DefinedTerm"", ""text"": ""TRANSACTION"", ""start"": 5, ""end"": 16, ""needs_fix"": false}, {""label"": ""Definition"", ""text"": ""a transaction utilizing the Services that actually closes and that was initiated by a Transaction Inquiry from a Customer."", ""start"": 24, ""end"": 146, ""needs_fix"": false}]",legal_definition_rule,1,needs_review,"(k) ""TRANSACTION"" means a transaction utilizing the Services that actually closes and that was initiated by a Transaction Inquiry from a Customer.",
c0015-p001,15,1 DEFINITIONS,"{""text"": ""means"", ""lemma"": ""means"", ""start"": 26, ""end"": 31, ""needs_fix"": false}","[{""label"": ""DefinedTerm"", ""text"": ""TRANSACTION INQUIRY"", ""start"": 5, ""end"": 24, ""needs_fix"": false}, {""label"": ""Definition"", ""text"": ""a Customer's submission of i-Escrow's standard New Transaction Inquiry form (or its successor) on or through the Co-Branded Pages."", ""start"": 32, ""end"": 162, ""needs_fix"": false}]",legal_definition_rule,1,needs_review,"(l) ""TRANSACTION INQUIRY"" means a Customer's submission of i-Escrow's standard New Transaction Inquiry form (or its successor) on or through the Co-Branded Pages.",
c0016-p001,16,1 DEFINITIONS,"{""text"": ""means"", ""lemma"": ""mean"", ""start"": 15, ""end"": 20, ""needs_fix"": false}",[],transformer_srl+legal_rules,2,needs_review,"Currently this means entry of a description and price of merchandise by a user (buyer or seller) who agrees to abide by the terms and conditions of the Services, together with email address of the other party, regardless of whether or not any Transaction is completed.",
c0017-p001,17,2.1 OVERVIEW,"{""text"": ""promote"", ""lemma"": ""promote"", ""start"": 35, ""end"": 42, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""2TheMart"", ""start"": 21, ""end"": 29, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""Services"", ""start"": 43, ""end"": 51, ""needs_fix"": false}, {""label"": ""Recipient"", ""text"": ""its auction users (buyers and sellers"", ""start"": 55, ""end"": 92, ""needs_fix"": false}]",transformer_srl+legal_rules,2,needs_review,"As set forth herein, 2TheMart will promote Services to its auction users (buyers and sellers).",
c0018-p001,18,2.1 OVERVIEW,"{""text"": ""develop"", ""lemma"": ""develop"", ""start"": 15, ""end"": 22, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""i-Escrow"", ""start"": 0, ""end"": 8, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""Co-Branded Site"", ""start"": 23, ""end"": 38, ""needs_fix"": false}]",transformer_srl+legal_rules,7,needs_review,i-Escrow shall develop Co-Branded Site.,
c0019-p001,19,2.1 OVERVIEW,"{""text"": ""develop"", ""lemma"": ""develop"", ""start"": 15, ""end"": 22, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""i-Escrow"", ""start"": 0, ""end"": 8, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""the Information Transfer Mechanism working with 2TheMart to make Services available seamlessly to Customers"", ""start"": 23, ""end"": 130, ""needs_fix"": false}]",transformer_srl+legal_rules,7,needs_review,i-Escrow shall develop the Information Transfer Mechanism working with 2TheMart to make Services available seamlessly to Customers.,
c0020-p001,20,2.1 OVERVIEW,"{""text"": ""be"", ""lemma"": ""be"", ""start"": 45, ""end"": 47, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""each party"", ""start"": 28, ""end"": 38, ""needs_fix"": false}, {""label"": ""Condition"", ""text"": ""Unless otherwise specified"", ""start"": 0, ""end"": 26, ""needs_fix"": false}]",transformer_srl+legal_rules,4,needs_review,"Unless otherwise specified, each party shall be responsible for all development, hosting and other costs associated with the pages resident on their servers and all emails to users they send.",
c0021-p001,21,2.2 INITIAL INFORMATION TRANSFER MECHANISM DEVELOPMENT,"{""text"": ""negotiate"", ""lemma"": ""negotiate"", ""start"": 18, ""end"": 27, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""The parties"", ""start"": 0, ""end"": 11, ""needs_fix"": false}]",transformer_srl+legal_rules,0,needs_review,"The parties shall negotiate in good faith to determine the initial operation of the Information Transfer Mechanism and to describe such operation and development fees, in a statement of work (""SOW"").",
c0022-p001,22,2.2 INITIAL INFORMATION TRANSFER MECHANISM DEVELOPMENT,"{""text"": ""make"", ""lemma"": ""make"", ""start"": 17, ""end"": 21, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""Each party"", ""start"": 0, ""end"": 10, ""needs_fix"": false}]",transformer_srl+legal_rules,5,needs_review,Each party shall make available sufficient and qualified engineers to negotiate the SOW.,
c0023-p001,23,2.2 INITIAL INFORMATION TRANSFER MECHANISM DEVELOPMENT,"{""text"": ""be"", ""lemma"": ""be"", ""start"": 13, ""end"": 15, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""No SOW"", ""start"": 0, ""end"": 6, ""needs_fix"": false}]",transformer_srl+legal_rules,0,needs_review,No SOW shall be binding on the parties unless mutually approved by both parties.,
c0024-p001,24,2.2 INITIAL INFORMATION TRANSFER MECHANISM DEVELOPMENT,"{""text"": ""terminate"", ""lemma"": ""terminate"", ""start"": 148, ""end"": 157, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""either party"", ""start"": 106, ""end"": 118, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""this Agreement"", ""start"": 158, ""end"": 172, ""needs_fix"": false}, {""label"": ""Time"", ""text"": ""within 2 months"", ""start"": 60, ""end"": 75, ""needs_fix"": false}, {""label"": ""Condition"", ""text"": ""In the event that the parties are unable to agree to an SOW within 2 months following the Effective Date"", ""start"": 0, ""end"": 104, ""needs_fix"": false}]",transformer_srl+legal_rules,14,needs_review,"In the event that the parties are unable to agree to an SOW within 2 months following the Effective Date, either party may, in its sole discretion, terminate this Agreement by providing written notice.",
c0025-p001,25,2.2 INITIAL INFORMATION TRANSFER MECHANISM DEVELOPMENT,"{""text"": ""use"", ""lemma"": ""use"", ""start"": 33, ""end"": 36, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""the parties"", ""start"": 15, ""end"": 26, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""commercially reasonable efforts to diligently implement their respective obligations under the SOW"", ""start"": 37, ""end"": 135, ""needs_fix"": false}]",transformer_srl+legal_rules,2,needs_review,"Once approved, the parties shall use commercially reasonable efforts to diligently implement their respective obligations under the SOW.",
c0026-p001,26,2.2 INITIAL INFORMATION TRANSFER MECHANISM DEVELOPMENT,"{""text"": ""notify"", ""lemma"": ""notify"", ""start"": 59, ""end"": 65, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""a party"", ""start"": 45, ""end"": 52, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""the other party"", ""start"": 66, ""end"": 81, ""needs_fix"": false}, {""label"": ""Condition"", ""text"": ""Upon completion of its duties under the SOW"", ""start"": 0, ""end"": 43, ""needs_fix"": false}]",transformer_srl+legal_rules,6,needs_review,"Upon completion of its duties under the SOW, a party shall notify the other party and provide the other party with the opportunity to test and evaluate its work.",
c0027-p001,27,2.2 INITIAL INFORMATION TRANSFER MECHANISM DEVELOPMENT,"{""text"": ""make"", ""lemma"": ""make"", ""start"": 15, ""end"": 19, ""needs_fix"": false}","[{""label"": ""ContractParties"", ""text"": ""i-Escrow"", ""start"": 0, ""end"": 8, ""needs_fix"": false}]",transformer_srl+legal_rules,5,needs_review,i-Escrow shall make available the Shadow Site for such testing in a timely manner.,
c0028-p001,28,2.2 INITIAL INFORMATION TRANSFER MECHANISM DEVELOPMENT,"{""text"": ""cooperate"", ""lemma"": ""cooperate"", ""start"": 28, ""end"": 37, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""Each party"", ""start"": 0, ""end"": 10, ""needs_fix"": false}]",transformer_srl+legal_rules,0,needs_review,Each party shall reasonably cooperate with the other party in effectuating their respective duties under the SOW.,
c0029-p001,29,2.2 INITIAL INFORMATION TRANSFER MECHANISM DEVELOPMENT,"{""text"": ""go"", ""lemma"": ""go"", ""start"": 45, ""end"": 47, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""The Information Transfer Mechanism"", ""start"": 0, ""end"": 34, ""needs_fix"": false}]",transformer_srl+legal_rules,0,needs_review,"The Information Transfer Mechanism shall not go live until its operation has been approved (""Approval Date"") by both parties, such approval not to be unreasonably withheld.",
c0030-p001,30,2.3 LAUNCH TIMING,"{""text"": ""use"", ""lemma"": ""use"", ""start"": 17, ""end"": 20, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""Each party"", ""start"": 0, ""end"": 10, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""good faith and reasonable efforts to expeditiously develop the Co-Branded Pages and the Information Transfer Mechanism"", ""start"": 21, ""end"": 139, ""needs_fix"": false}]",transformer_srl+legal_rules,2,needs_review,Each party shall use good faith and reasonable efforts to expeditiously develop the Co-Branded Pages and the Information Transfer Mechanism.,
c0031-p001,31,2.3 LAUNCH TIMING,"{""text"": ""terminate"", ""lemma"": ""terminate"", ""start"": 141, ""end"": 150, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""either party"", ""start"": 124, ""end"": 136, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""this Agreement"", ""start"": 151, ""end"": 165, ""needs_fix"": false}, {""label"": ""Time"", ""text"": ""within 4 months"", ""start"": 78, ""end"": 93, ""needs_fix"": false}, {""label"": ""Condition"", ""text"": ""In the event that, after using such efforts"", ""start"": 0, ""end"": 43, ""needs_fix"": false}]",transformer_srl+legal_rules,14,needs_review,"In the event that, after using such efforts, the Launch Date has not occurred within 4 months following the Effective Date, either party may terminate this Agreement by providing written notice.",
c0032-p001,32,2.3 LAUNCH TIMING,"{""text"": ""exercise"", ""lemma"": ""exercise"", ""start"": 94, ""end"": 102, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""only that party"", ""start"": 74, ""end"": 89, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""the foregoing right to terminate"", ""start"": 103, ""end"": 135, ""needs_fix"": false}, {""label"": ""Condition"", ""text"": ""If only one party has used good faith and reasonable development efforts"", ""start"": 0, ""end"": 72, ""needs_fix"": false}]",transformer_srl+legal_rules,6,needs_review,"If only one party has used good faith and reasonable development efforts, only that party may exercise the foregoing right to terminate.",
c0033-p001,33,2.4 RESTRICTIONS ON COMMUNICATIONS,"{""text"": ""place"", ""lemma"": ""place"", ""start"": 13, ""end"": 18, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""i-Escrow"", ""start"": 0, ""end"": 8, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""banner advertising"", ""start"": 19, ""end"": 37, ""needs_fix"": false}, {""label"": ""Time"", ""text"": ""the Co-Branded Site"", ""start"": 41, ""end"": 60, ""needs_fix"": false}]",transformer_srl+legal_rules,5,needs_review,"i-Escrow may place banner advertising on the Co-Branded Site upon prior written approval of 2TheMart, which shall be at the discretion of 2TheMart.",
c0034-p001,34,2.4 RESTRICTIONS ON COMMUNICATIONS,"{""text"": ""be"", ""lemma"": ""be"", ""start"": 58, ""end"": 60, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""All advertising revenue"", ""start"": 0, ""end"": 23, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""solely i-Escrow's"", ""start"": 61, ""end"": 78, ""needs_fix"": false}]",transformer_srl+legal_rules,2,needs_review,All advertising revenue arising from the banner ads shall be solely i-Escrow's.,
c0035-p001,35,2.4 RESTRICTIONS ON COMMUNICATIONS,"{""text"": ""run"", ""lemma"": ""run"", ""start"": 19, ""end"": 22, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""i-Escrow"", ""start"": 0, ""end"": 8, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""banner advertisements"", ""start"": 23, ""end"": 44, ""needs_fix"": false}, {""label"": ""Recipient"", ""text"": ""any of 2TheMart's competitors"", ""start"": 72, ""end"": 101, ""needs_fix"": false}, {""label"": ""Time"", ""text"": ""the Co-Branded Site"", ""start"": 48, ""end"": 67, ""needs_fix"": false}]",transformer_srl+legal_rules,5,needs_review,i-Escrow shall not run banner advertisements on the Co-Branded Site for any of 2TheMart's competitors.,
c0036-p001,36,2.4 RESTRICTIONS ON COMMUNICATIONS,"{""text"": ""provide"", ""lemma"": ""provide"", ""start"": 15, ""end"": 22, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""2TheMart"", ""start"": 0, ""end"": 8, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""a list of companies they would like to exclude, including every time they wish to change this list"", ""start"": 35, ""end"": 133, ""needs_fix"": false}]",transformer_srl+legal_rules,7,needs_review,"2TheMart shall provide in writing, a list of companies they would like to exclude, including every time they wish to change this list.",
c0037-p001,37,2.5 SERVICE PERFORMANCE OF INFORMATION TRANSFER MECHANISM,"{""text"": ""parties"", ""lemma"": ""party"", ""start"": 4, ""end"": 11, ""needs_fix"": false}",[],transformer_srl+legal_rules,0,needs_review,The parties each shall in good faith work to provide reasonable service levels with respect to the operation of the portions of the Information Transfer Mechanism in their control.,
c0038-p001,38,2.6 PROGRAM REVIEW MEETINGS,"{""text"": ""meet"", ""lemma"": ""meet"", ""start"": 18, ""end"": 22, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""The parties"", ""start"": 0, ""end"": 11, ""needs_fix"": false}]",transformer_srl+legal_rules,0,needs_review,"The parties shall meet, at least once per month either in person, or by telephone, to coordinate the implementation of this agreement over time.",
c0039-p001,39,3 PROMOTION,"{""text"": ""promote"", ""lemma"": ""promote"", ""start"": 40, ""end"": 47, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""2TheMart"", ""start"": 19, ""end"": 27, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""the Services"", ""start"": 48, ""end"": 60, ""needs_fix"": false}, {""label"": ""Time"", ""text"": ""Launch Date"", ""start"": 6, ""end"": 17, ""needs_fix"": false}]",transformer_srl+legal_rules,5,needs_review,"After Launch Date, 2TheMart will widely promote the Services.",
c0040-p001,40,3 PROMOTION,"{""text"": ""including"", ""lemma"": ""include"", ""start"": 50, ""end"": 59, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""seller"", ""start"": 13, ""end"": 19, ""needs_fix"": false}]",transformer_srl+legal_rules,0,needs_review,(a) To every seller and high bidder through means including.,
c0041-p001,41,3 PROMOTION,"{""text"": ""be"", ""lemma"": ""be"", ""start"": 76, ""end"": 78, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""it"", ""start"": 7, ""end"": 9, ""needs_fix"": false}]",transformer_srl+legal_rules,0,needs_review,"not limited to, end of auction emails containing links, such that, it shall be possible for the buyer or seller to initiate a Transaction Inquiry with i-Escrow, without having to re-enter all their personal or transaction related information.",
c0042-p001,42,3 PROMOTION,"{""text"": ""use"", ""lemma"": ""use"", ""start"": 13, ""end"": 16, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""2TheMart"", ""start"": 0, ""end"": 8, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""the \""Escrow Services Description\"" attached in Exhibit A for creating such a page"", ""start"": 17, ""end"": 97, ""needs_fix"": false}]",transformer_srl+legal_rules,2,needs_review,"2TheMart may use the ""Escrow Services Description"" attached in Exhibit A for creating such a page.",
c0043-p001,43,5.1 ADVERTISING FEES,"{""text"": ""pay"", ""lemma"": ""pay"", ""start"": 38, ""end"": 41, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""i-Escrow"", ""start"": 23, ""end"": 31, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""2TheMart advertising fees"", ""start"": 42, ""end"": 67, ""needs_fix"": false}, {""label"": ""Time"", ""text"": ""the Launch Date"", ""start"": 6, ""end"": 21, ""needs_fix"": false}]",transformer_srl+legal_rules,10,needs_review,"After the Launch Date, i-Escrow shall pay 2TheMart advertising fees based on the number of Transaction Inquiries.",
c0044-p001,44,5.1 ADVERTISING FEES,"{""text"": ""consist"", ""lemma"": ""consist"", ""start"": 28, ""end"": 35, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""This advertising fees"", ""start"": 0, ""end"": 21, ""needs_fix"": false}]",transformer_srl+legal_rules,0,needs_review,This advertising fees shall consist of a per Transaction Inquiry amount calculated by multiplying 0.025% by the amount of the average Transaction from all Customers in the preceding quarter.,
c0045-p001,45,5.1 ADVERTISING FEES,"{""text"": ""revised"", ""lemma"": ""revise"", ""start"": 70, ""end"": 77, ""needs_fix"": false}","[{""label"": ""Theme"", ""text"": ""The formula"", ""start"": 0, ""end"": 11, ""needs_fix"": false}, {""label"": ""Recipient"", ""text"": ""time"", ""start"": 83, ""end"": 87, ""needs_fix"": false}, {""label"": ""Time"", ""text"": ""the term of this Agreement"", ""start"": 103, ""end"": 129, ""needs_fix"": false}]",transformer_srl+legal_rules,3,needs_review,"The formula for arriving at the per Transaction Inquiry amount may be revised from time to time during the term of this Agreement to reflect present market conditions (""the Adjusted Rate""), but only by mutual.",
c0046-p001,46,5.1 ADVERTISING FEES,"{""text"": ""added"", ""lemma"": ""add"", ""start"": 27, ""end"": 32, ""needs_fix"": false}","[{""label"": ""Theme"", ""text"": ""The Adjusted Rate"", ""start"": 0, ""end"": 17, ""needs_fix"": false}]",transformer_srl+legal_rules,0,needs_review,The Adjusted Rate shall be added as an addendum to this Agreement.,
c0047-p001,47,5.2 REPORTING,"{""text"": ""provide"", ""lemma"": ""provide"", ""start"": 80, ""end"": 87, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""i-Escrow"", ""start"": 65, ""end"": 73, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""a report"", ""start"": 100, ""end"": 108, ""needs_fix"": false}, {""label"": ""Recipient"", ""text"": ""2TheMart"", ""start"": 91, ""end"": 99, ""needs_fix"": false}, {""label"": ""Time"", ""text"": ""two (2) weeks following the end of each calendar quarter"", ""start"": 7, ""end"": 63, ""needs_fix"": false}]",transformer_srl+legal_rules,10,needs_review,"Within two (2) weeks following the end of each calendar quarter, i-Escrow shall provide to 2TheMart a report, describing for each quarter: the number of new registrations through the Co-Branded Pages.",
c0048-p001,48,5.3 AUDIT RIGHTS,"{""text"": ""keep"", ""lemma"": ""keep"", ""start"": 15, ""end"": 19, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""i-Escrow"", ""start"": 0, ""end"": 8, ""needs_fix"": false}, {""label"": ""Theme"", ""text"": ""proper records and books of account"", ""start"": 37, ""end"": 72, ""needs_fix"": false}, {""label"": ""Time"", ""text"": ""for one (1) year"", ""start"": 20, ""end"": 36, ""needs_fix"": false}]",transformer_srl+legal_rules,10,needs_review,"i-Escrow shall keep for one (1) year proper records and books of account relating to the computation of advertising payments owed to 2TheMart (including, as appropriate, the computation of the size of average Transaction).",
c0049-p001,49,5.3 AUDIT RIGHTS,"{""text"": ""inspect"", ""lemma"": ""inspect"", ""start"": 58, ""end"": 65, ""needs_fix"": false}","[{""label"": ""Agent"", ""text"": ""every twelve (12) months"", ""start"": 5, ""end"": 29, ""needs_fix"": false}, {""label"": ""Time"", ""text"": ""Once every twelve (12) months"", ""start"": 0, ""end"": 29, ""needs_fix"": false}]",transformer_srl+legal_rules,3,needs_review,"Once every twelve (12) months, 2TheMart through a CPA may inspect and audit such records to verify reports.",
